"","ISO","year","totdeath","armconf1","matmor","infmor","neomor","under5mor","earthquake","drought"
"1","AFG",2000,1,1,1450,90.5,60.9,129.2,0,1
"2","AFG",2001,1,1,1390,87.9,59.7,125.2,1,0
"3","AFG",2002,1,1,1300,85.3,58.5,121.1,1,0
"4","AFG",2003,1,1,1240,82.7,57.2,116.9,1,0
"5","AFG",2004,1,1,1180,80,55.9,112.6,1,0
"6","AFG",2005,1,1,1140,77.3,54.6,108.4,1,0
"7","AFG",2006,1,1,1120,74.6,53.2,104.1,1,1
"8","AFG",2007,1,1,1090,71.9,51.7,99.9,NA,NA
"9","AFG",2008,1,1,1030,69.2,50.3,95.7,0,1
"10","AFG",2009,1,1,993,66.7,48.9,91.7,1,0
"11","AFG",2010,1,1,954,64.2,47.4,87.8,1,0
"12","AFG",2011,1,1,905,61.8,46,84,0,1
"13","AFG",2012,1,1,858,59.5,44.6,80.3,1,0
"14","AFG",2013,1,1,810,57.3,43.2,76.9,1,0
"15","AFG",2014,1,1,786,55.2,41.9,73.6,NA,NA
"16","AFG",2015,1,1,701,53.2,40.5,70.4,1,0
"17","AFG",2016,1,1,673,51.3,39.3,67.5,NA,NA
"18","AFG",2017,1,1,638,49.5,38.2,64.8,NA,NA
"19","AFG",2018,1,1,NA,47.9,37.2,62.3,0,1
"20","AFG",2019,1,1,NA,46.4,36.1,60.1,NA,NA
"21","AGO",2000,1,1,827,121.5,50.3,204.4,NA,NA
"22","AGO",2001,1,1,766,118.2,49.2,198.4,0,1
"23","AGO",2002,1,1,690,114.5,48,191.5,NA,NA
"24","AGO",2003,1,1,628,110.4,46.5,183.8,NA,NA
"25","AGO",2004,1,1,574,105.7,45.1,175.1,0,1
"26","AGO",2005,1,1,519,100.9,43.5,166.1,NA,NA
"27","AGO",2006,1,1,473,95.7,42,156.4,NA,NA
"28","AGO",2007,1,1,431,90.6,40.5,147,NA,NA
"29","AGO",2008,1,1,395,85.5,39,137.7,NA,NA
"30","AGO",2009,1,1,359,80.6,37.7,128.7,NA,NA
"31","AGO",2010,1,1,326,75.9,36.3,120.4,NA,NA
"32","AGO",2011,1,1,300,71.5,35.1,112.5,NA,NA
"33","AGO",2012,1,1,281,67.4,33.8,105.1,0,1
